year,gold_close_usd_oz,silver_close_usd_oz,gold_silver_ratio
2006,636.80,12.81,49.71
2007,833.60,14.73,56.59
2008,880.20,11.29,77.96
2009,1096.20,16.80,65.25
2010,1421.45,30.91,45.99
2011,1564.30,27.70,56.47
2012,1674.95,30.34,55.21
2013,1205.55,19.46,61.95
2014,1183.95,15.71,75.36
2015,1061.30,13.85,76.63
2016,1151.85,15.94,72.26
2017,1302.55,16.95,76.85
2018,1282.82,15.50,82.76
2019,1517.39,17.83,85.10
2020,1896.49,26.36,71.95
2021,1828.39,23.31,78.44
2022,1823.54,23.96,76.11
2023,2062.96,23.80,86.68
2024,2623.84,28.90,90.79
2025,4315.13,70.46,61.24
