asset,period,item,value,unit,note
압구정현대1차_131sqm,2014,annual_avg_135sqm_bucket,15.32,억원,"DAPT groups 131.48~131.49㎡ into 135㎡ bucket"
압구정현대1차_131sqm,2026_H1,2026-01-10,70,억원,"131.48㎡ 10층"
압구정현대1차_131sqm,2026_H1,2026-01-29,71,억원,"131.48㎡ 7층"
압구정현대1차_131sqm,2026_H1,2026-05-12,65,억원,"131.49㎡ 10층"
압구정현대1차_131sqm,2026_H1,2026-05-16,61,억원,"131.48㎡ 8층"
삼성전자,2014,Jan_avg_pre_split,1299150,KRW,"Samsung official business report"
삼성전자,2014,Feb_avg_pre_split,1298300,KRW,"Samsung official business report"
삼성전자,2014,Mar_avg_pre_split,1300000,KRW,"Samsung official business report"
삼성전자,2014,Apr_avg_pre_split,1376455,KRW,"Samsung official business report"
삼성전자,2014,May_avg_pre_split,1409211,KRW,"Samsung official business report"
삼성전자,2014,Jun_avg_pre_split,1373895,KRW,"Samsung official business report"
삼성전자,2014,Jul_avg_pre_split,1329565,KRW,"Samsung official business report"
삼성전자,2014,Aug_avg_pre_split,1261450,KRW,"Samsung official business report"
삼성전자,2014,Sep_avg_pre_split,1193895,KRW,"Samsung official business report"
삼성전자,2014,Oct_avg_pre_split,1126143,KRW,"Samsung official business report"
삼성전자,2014,Nov_avg_pre_split,1221250,KRW,"Samsung official business report"
삼성전자,2014,Dec_avg_pre_split,1310143,KRW,"Samsung official business report"
삼성전자,2026_H1,Jan_monthly_avg_close,146542.857,KRW,"daily closes aggregated by month"
삼성전자,2026_H1,Feb_monthly_avg_close,180929.412,KRW,"daily closes aggregated by month"
삼성전자,2026_H1,Mar_monthly_avg_close,187123.810,KRW,"daily closes aggregated by month"
삼성전자,2026_H1,Apr_monthly_avg_close,209288.636,KRW,"daily closes aggregated by month"
삼성전자,2026_H1,May_monthly_avg_close,283361.111,KRW,"daily closes aggregated by month"
삼성전자,2026_H1,Jun_monthly_avg_close,334928.571,KRW,"daily closes aggregated by month"
금,2014,annual_avg_close,1266.24,USD_per_oz,"StatMuse average closing price"
USD_KRW,2014,annual_avg,1053.83,KRW_per_USD,"Exchange-Rates.org"
금,2026_H1,Jan_monthly_avg,221201,KRW_per_g,"Exchange-Rates.org 24K"
금,2026_H1,Feb_monthly_avg,233717,KRW_per_g,"Exchange-Rates.org 24K"
금,2026_H1,Mar_monthly_avg,232647,KRW_per_g,"Exchange-Rates.org 24K"
금,2026_H1,Apr_monthly_avg,225397,KRW_per_g,"Exchange-Rates.org 24K"
금,2026_H1,May_monthly_avg,219766,KRW_per_g,"Exchange-Rates.org 24K"
금,2026_H1,Jun_monthly_avg,207906,KRW_per_g,"Exchange-Rates.org 24K"
은,2014,annual_avg_close,19.07,USD_per_oz,"StatMuse average closing price"
은,2026_H1,Jan_monthly_avg,4248.36,KRW_per_g,"Exchange-Rates.org"
은,2026_H1,Feb_monthly_avg,3813.20,KRW_per_g,"Exchange-Rates.org"
은,2026_H1,Mar_monthly_avg,3742.55,KRW_per_g,"Exchange-Rates.org"
은,2026_H1,Apr_monthly_avg,3616.51,KRW_per_g,"Exchange-Rates.org"
은,2026_H1,May_monthly_avg,3737.78,KRW_per_g,"Exchange-Rates.org"
은,2026_H1,Jun_monthly_avg,3246.49,KRW_per_g,"Exchange-Rates.org"
